date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:54	17983/17983	---M--	200	added ('OK')	text/html	etag:%220x8DCE4A6BAAE4394%22	https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/index0b20.html	(from )
02:47:54	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Fri,%2004%20Oct%202024%2021:17:53%20GMT	https://cvfff32.z13.web.core.windows.net/robots.txt		(from )
02:47:55	1407/1407	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Oct%202024%2021:17:53%20GMT	https://plausible.io/js/script.js	C:/Users/Sunil/Desktop/my/popppooo/plausible.io/js/script.js	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:47:56	8210/8210	---M--	200	added ('OK')	text/css	etag:%220x8DCE4A6BABAB8B8%22	https://cvfff32.z13.web.core.windows.net/AZW5/styles.css	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/styles.css	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:47:57	7353/7353	---M--	200	added ('OK')	text/javascript	etag:%220x8DCE4A6BB4AE4F1%22	https://cvfff32.z13.web.core.windows.net/AZW5/scripts.js	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/scripts.js	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:47:59	184587/184587	---M--	200	added ('OK')	text/javascript	etag:%220x8DCE4A6BB1F71E5%22	https://cvfff32.z13.web.core.windows.net/AZW5/custom.js	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/custom.js	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:47:59	81/81	---M--	200	added ('OK')	text/javascript	etag:%220x8DCE4A6BB055088%22	https://cvfff32.z13.web.core.windows.net/AZW5/main.js	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/main.js	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:48:00	3136/3136	---M--	200	added ('OK')	image/png	etag:%220x8DCE4A6BB489D90%22	https://cvfff32.z13.web.core.windows.net/AZW5/apple.png	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/apple.png	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:48:02	105339/105339	---M--	200	added ('OK')	image/jpeg	etag:%220x8DCE4A6BBC75138%22	https://cvfff32.z13.web.core.windows.net/AZW5/recipe.jpg	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/recipe.jpg	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
02:48:04	17173/17173	---M--	200	added ('OK')	image/jpeg	etag:%220x8DCE4A6BAAE6A7B%22	https://cvfff32.z13.web.core.windows.net/AZW5/minimize.jpg	C:/Users/Sunil/Desktop/my/popppooo/cvfff32.z13.web.core.windows.net/AZW5/minimize.jpg	(from https://cvfff32.z13.web.core.windows.net/AZW5/?id=5&gclid=EAIaIQobChMIiuelnr31iAMVjUf_AR3JmgJjEAAYASAAEgIhl_D_BwE)
